property_type,location,city,purpose,baths,bathroom,AreaType,AreaSize,AreaCategory,price,priceinrange,noofbedrooms,noofbaths
Flat,F-8,Islamabad,For Rent,Zero,One,Marla,3.9,0-5 Marla,140000,Between 1 to 5 lakh,1,0
Flat,F-8,Islamabad,For Rent,Zero,One,Marla,5.1,5-10 Marla,140000,Between 1 to 5 lakh,1,0
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,Two,Two,Marla,4.4,0-5 Marla,45000,Between twenty-five to fifty thousand,2,2
Flat,Askari 7,Rawalpindi,For Rent,Four,Three,Marla,10,5-10 Marla,35000,Between twenty-five to fifty thousand,3,4
Flat,North Nazimabad,Karachi,For Sale,One,One,Marla,1.8,0-5 Marla,2500000,Between 20 lakh to 30 lakh,1,1
Flat,E-11,Islamabad,For Sale,One,One,Marla,3.1,0-5 Marla,3600000,Between 30 lakh to 50 lakh,1,1
Flat,DHA Defence,Karachi,For Sale,One,One,Marla,5.8,5-10 Marla,27000000,Between 1 to 5 crore,1,1
Flat,Fazaia Housing Scheme,Karachi,For Sale,Two,Two,Marla,5.2,5-10 Marla,3763000,Between 30 lakh to 50 lakh,2,2
Flat,Fazaia Housing Scheme,Karachi,For Sale,Two,Two,Marla,5.7,5-10 Marla,4090000,Between 30 lakh to 50 lakh,2,2
Flat,Fazaia Housing Scheme,Karachi,For Sale,Two,Two,Marla,5.8,5-10 Marla,4666000,Between 30 lakh to 50 lakh,2,2
Flat,Bahria Town Karachi,Karachi,For Sale,Two,Two,Marla,4.2,0-5 Marla,4800000,Between 30 lakh to 50 lakh,2,2
Flat,E-11,Islamabad,For Sale,Two,Two,Marla,4,0-5 Marla,5000000,Between 30 lakh to 50 lakh,2,2
Flat,DHA Defence,Karachi,For Sale,Two,Two,Marla,4.7,0-5 Marla,10300000,Between 1 to 5 crore,2,2
Flat,DHA Defence,Karachi,For Sale,Three,Two,Marla,9.1,5-10 Marla,37000000,Between 1 to 5 crore,2,3
Flat,Fazaia Housing Scheme,Karachi,For Sale,Four,Three,Marla,6.7,5-10 Marla,4797000,Between 30 lakh to 50 lakh,3,4
Flat,Fazaia Housing Scheme,Karachi,For Sale,Four,Three,Marla,7.1,5-10 Marla,5136000,Between 50 lakh to 80 lakh,3,4
Flat,Northern Bypass,Karachi,For Sale,Four,Three,Marla,7.1,5-10 Marla,5136000,Between 50 lakh to 80 lakh,3,4
Flat,Gulistan-e-Jauhar,Karachi,For Sale,Three,Three,Marla,6,5-10 Marla,6500000,Between 50 lakh to 80 lakh,3,3
Flat,Gadap Town,Karachi,For Sale,Three,Three,Marla,7.9,5-10 Marla,7900000,Between 50 lakh to 80 lakh,3,3
Flat,Fazaia Housing Scheme,Karachi,For Sale,Four,Three,Marla,9.8,5-10 Marla,7960000,Between 50 lakh to 80 lakh,3,4
Flat,Gulistan-e-Jauhar,Karachi,For Sale,Three,Three,Marla,7.6,5-10 Marla,8000000,Between 50 lakh to 80 lakh,3,3
Flat,DHA Defence,Islamabad,For Sale,Three,Three,Marla,8.9,5-10 Marla,12500000,Between 1 to 5 crore,3,3
Flat,DHA Defence,Karachi,For Sale,Three,Three,Marla,6.5,5-10 Marla,14000000,Between 1 to 5 crore,3,3
Flat,Askari,Lahore,For Sale,Three,Three,Marla,10,5-10 Marla,14000000,Between 1 to 5 crore,3,3
Flat,Askari,Lahore,For Sale,Three,Three,Marla,10,5-10 Marla,14500000,Between 1 to 5 crore,3,3
Flat,DHA Defence,Karachi,For Sale,Four,Three,Marla,10.9,10-15 Marla,47000000,Between 1 to 5 crore,3,4
Flat,Fazaia Housing Scheme,Karachi,For Sale,Five,Four,Marla,12.5,10-15 Marla,10100000,Between 1 to 5 crore,4,5
Flat,DHA Defence,Karachi,For Sale,Five,Four,Marla,11.8,10-15 Marla,50000000,Between 1 to 5 crore,4,5
House,Bahria Town Rawalpindi,Rawalpindi,For Rent,Two,Two,Marla,5,0-5 Marla,23000,Between zero to twenty-five thousand,2,2
House,Bahria Town Rawalpindi,Rawalpindi,For Rent,Two,Two,Marla,5,0-5 Marla,40000,Between twenty-five to fifty thousand,2,2
House,Bahria Town Rawalpindi,Rawalpindi,For Rent,Three,Three,Marla,5,0-5 Marla,30000,Between twenty-five to fifty thousand,3,3
House,National Police Foundation,Islamabad,For Rent,Three,Three,Marla,10,5-10 Marla,32000,Between twenty-five to fifty thousand,3,3
House,Bahria Town Rawalpindi,Rawalpindi,For Rent,Three,Three,Marla,8,5-10 Marla,38000,Between twenty-five to fifty thousand,3,3
House,Askari 14,Rawalpindi,For Rent,Four,Three,Marla,10,5-10 Marla,47000,Between twenty-five to fifty thousand,3,4
House,Askari 13,Rawalpindi,For Rent,Four,Three,Marla,5,0-5 Marla,55000,Between fifty thousand to 1 lakh,3,4
House,Bahria Town Rawalpindi,Rawalpindi,For Rent,Three,Three,Marla,8,5-10 Marla,75000,Between fifty thousand to 1 lakh,3,3
House,Peshawar Road,Rawalpindi,For Rent,Three,Four,Marla,5,0-5 Marla,30000,Between twenty-five to fifty thousand,4,3
House,Bahria Town Rawalpindi,Rawalpindi,For Rent,Four,Four,Marla,7,5-10 Marla,45000,Between twenty-five to fifty thousand,4,4
House,Askari 14,Rawalpindi,For Rent,Five,Four,Marla,10,5-10 Marla,55000,Between fifty thousand to 1 lakh,4,5
House,DHA Defence,Karachi,For Rent,Five,Four,Kanal,1,1-5 Kanal,250000,Between 1 to 5 lakh,4,5
House,Askari 14,Rawalpindi,For Rent,Six,Five,Marla,10,5-10 Marla,58000,Between fifty thousand to 1 lakh,5,6
House,DHA Defence,Islamabad,For Rent,Five,Five,Kanal,1,1-5 Kanal,110000,Between 1 to 5 lakh,5,5
House,Navy Housing Scheme Karsaz,Karachi,For Rent,Six,Five,Marla,14,10-15 Marla,140000,Between 1 to 5 lakh,5,6
House,F-10,Islamabad,For Rent,Six,Six,Kanal,1,1-5 Kanal,190000,Between 1 to 5 lakh,6,6
House,Fazaia Housing Scheme,Karachi,For Sale,Three,Three,Marla,5,0-5 Marla,6642000,Between 50 lakh to 80 lakh,3,3
House,Northern Bypass,Karachi,For Sale,Three,Three,Marla,5,0-5 Marla,6642000,Between 50 lakh to 80 lakh,3,3
House,Northern Bypass,Karachi,For Sale,Four,Three,Marla,11,10-15 Marla,9205000,Between 80 lakh to 1 crore,3,4
House,Township,Lahore,For Sale,Three,Three,Marla,4.5,0-5 Marla,9500000,Between 80 lakh to 1 crore,3,3
House,Bahria Town,Lahore,For Sale,Four,Three,Marla,5,0-5 Marla,11500000,Between 1 to 5 crore,3,4
House,Pak Arab Housing Society,Lahore,For Sale,Four,Three,Marla,5,0-5 Marla,11500000,Between 1 to 5 crore,3,4
House,Military Accounts Housing Society,Lahore,For Sale,Four,Four,Marla,4,0-5 Marla,8200000,Between 80 lakh to 1 crore,4,4
House,Fazaia Housing Scheme,Karachi,For Sale,Five,Four,Marla,11,10-15 Marla,12500000,Between 1 to 5 crore,4,5
House,Northern Bypass,Karachi,For Sale,Five,Four,Marla,11,10-15 Marla,12500000,Between 1 to 5 crore,4,5
House,Pakistan Town,Islamabad,For Sale,Five,Four,Marla,6,5-10 Marla,14000000,Between 1 to 5 crore,4,5
House,F-17,Islamabad,For Sale,Six,Four,Marla,7,5-10 Marla,14000000,Between 1 to 5 crore,4,6
House,Askari,Lahore,For Sale,Five,Four,Marla,10,5-10 Marla,21500000,Between 1 to 5 crore,4,5
House,Askari,Lahore,For Sale,Five,Four,Marla,10,5-10 Marla,22000000,Between 1 to 5 crore,4,5
House,Askari,Lahore,For Sale,Five,Four,Marla,10,5-10 Marla,22500000,Between 1 to 5 crore,4,5
House,Askari,Lahore,For Sale,Five,Four,Marla,10,5-10 Marla,23000000,Between 1 to 5 crore,4,5
House,Askari,Lahore,For Sale,Four,Four,Marla,10,5-10 Marla,23500000,Between 1 to 5 crore,4,4
House,Askari,Lahore,For Sale,Four,Four,Marla,12,10-15 Marla,26000000,Between 1 to 5 crore,4,4
House,DHA Defence,Lahore,For Sale,Five,Four,Marla,10,5-10 Marla,27500000,Between 1 to 5 crore,4,5
House,DHA Defence,Lahore,For Sale,Five,Four,Marla,10,5-10 Marla,29000000,Between 1 to 5 crore,4,5
House,DHA Defence,Lahore,For Sale,Five,Four,Marla,10,5-10 Marla,29500000,Between 1 to 5 crore,4,5
House,DHA Defence,Lahore,For Sale,Five,Four,Marla,10,5-10 Marla,30000000,Between 1 to 5 crore,4,5
House,DHA Defence,Lahore,For Sale,Five,Four,Marla,10,5-10 Marla,32000000,Between 1 to 5 crore,4,5
House,Askari,Lahore,For Sale,Four,Four,Kanal,1,1-5 Kanal,33500000,Between 1 to 5 crore,4,4
House,Bahria Town,Lahore,For Sale,Five,Four,Kanal,1.2,1-5 Kanal,37000000,Between 1 to 5 crore,4,5
House,Malir,Karachi,For Sale,Five,Four,Marla,14,10-15 Marla,58500000,Between 5 to 10 crore,4,5
House,North Karachi,Karachi,For Sale,Five,Five,Marla,3.2,0-5 Marla,7200000,Between 50 lakh to 80 lakh,5,5
House,Bahria Town,Lahore,For Sale,Six,Five,Marla,10,5-10 Marla,17500000,Between 1 to 5 crore,5,6
House,Bahria Town,Lahore,For Sale,Six,Five,Marla,10,5-10 Marla,17600000,Between 1 to 5 crore,5,6
House,Bahria Town,Islamabad,For Sale,Six,Five,Marla,10,5-10 Marla,21000000,Between 1 to 5 crore,5,6
House,Bahria Town Rawalpindi,Rawalpindi,For Sale,Six,Five,Marla,10,5-10 Marla,21000000,Between 1 to 5 crore,5,6
House,Bahria Town Rawalpindi,Rawalpindi,For Sale,Six,Five,Marla,10,5-10 Marla,22500000,Between 1 to 5 crore,5,6
House,Bahria Town,Islamabad,For Sale,Six,Five,Marla,10,5-10 Marla,23000000,Between 1 to 5 crore,5,6
House,Bahria Town,Islamabad,For Sale,Six,Five,Marla,10,5-10 Marla,23500000,Between 1 to 5 crore,5,6
House,Bahria Town Rawalpindi,Rawalpindi,For Sale,Six,Five,Marla,10,5-10 Marla,23500000,Between 1 to 5 crore,5,6
House,Bahria Town Rawalpindi,Rawalpindi,For Sale,Zero,Five,Marla,13.5,10-15 Marla,24000000,Between 1 to 5 crore,5,0
House,Bahria Town Rawalpindi,Rawalpindi,For Sale,Six,Five,Marla,10,5-10 Marla,27500000,Between 1 to 5 crore,5,6
House,DHA Defence,Lahore,For Sale,Six,Five,Marla,10,5-10 Marla,30000000,Between 1 to 5 crore,5,6
House,State Life Housing Society,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,32500000,Between 1 to 5 crore,5,6
House,State Life Housing Society,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,33000000,Between 1 to 5 crore,5,6
House,DHA Defence,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,35000000,Between 1 to 5 crore,5,6
House,DHA Defence,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,37500000,Between 1 to 5 crore,5,6
House,Bahria Town Rawalpindi,Rawalpindi,For Sale,Six,Five,Kanal,1,1-5 Kanal,38000000,Between 1 to 5 crore,5,6
House,DHA Defence,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,39500000,Between 1 to 5 crore,5,6
House,DHA Defence,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,42500000,Between 1 to 5 crore,5,6
House,Bahria Town Rawalpindi,Rawalpindi,For Sale,Six,Five,Kanal,1,1-5 Kanal,43000000,Between 1 to 5 crore,5,6
House,DHA Defence,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,45000000,Between 1 to 5 crore,5,6
House,DHA Defence,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,47000000,Between 1 to 5 crore,5,6
House,DHA Defence,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,47500000,Between 1 to 5 crore,5,6
House,DHA Defence,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,52500000,Between 5 to 10 crore,5,6
House,Gulberg,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,53500000,Between 5 to 10 crore,5,6
House,DHA Defence,Lahore,For Sale,Six,Five,Kanal,1,1-5 Kanal,60000000,Between 5 to 10 crore,5,6
House,Gulistan Colony,Lahore,For Sale,Five,Six,Marla,6,5-10 Marla,9000000,Between 80 lakh to 1 crore,6,5
House,DHA Defence,Islamabad,For Sale,Five,Six,Marla,10,5-10 Marla,22000000,Between 1 to 5 crore,6,5
House,Bahria Town Rawalpindi,Rawalpindi,For Sale,Eight,Six,Kanal,1,1-5 Kanal,40000000,Between 1 to 5 crore,6,8
House,Bahria Town Rawalpindi,Rawalpindi,For Sale,Seven,Six,Kanal,1,1-5 Kanal,40000000,Between 1 to 5 crore,6,7
House,Cantt,Karachi,For Sale,Six,Seven,Kanal,1.1,1-5 Kanal,95000000,Between 5 to 10 crore,7,6
House,North Nazimabad,Karachi,For Sale,Eight,Eight,Marla,18,15-20 Marla,72500000,Between 5 to 10 crore,8,8
House,North Nazimabad,Karachi,For Sale,Eight,Eight,Kanal,1.5,1-5 Kanal,110000000,Above 10 crore,8,8
Lower Portion,Bahria Town Rawalpindi,Rawalpindi,For Rent,Three,Three,Marla,10,5-10 Marla,25000,Between zero to twenty-five thousand,3,3
Penthouse,DHA Defence,Karachi,For Sale,Six,Five,Kanal,1.4,1-5 Kanal,149300000,Above 10 crore,5,6
Upper Portion,Bahria Town Rawalpindi,Rawalpindi,For Rent,Three,Three,Marla,10,5-10 Marla,25000,Between zero to twenty-five thousand,3,3
Upper Portion,Bahria Town Rawalpindi,Rawalpindi,For Rent,Three,Three,Marla,10,5-10 Marla,33000,Between twenty-five to fifty thousand,3,3
Upper Portion,F-11,Islamabad,For Rent,Three,Three,Kanal,1,1-5 Kanal,75000,Between fifty thousand to 1 lakh,3,3
Upper Portion,Scheme 33,Karachi,For Rent,Four,Five,Marla,8,5-10 Marla,32000,Between twenty-five to fifty thousand,5,4
Farm House,Motorway Chowk,Islamabad,For Sale,Zero,Zero,Kanal,6,5-10 Kanal,12000000,Between 1 to 5 crore,0,0
Farm House,D-17,Islamabad,For Sale,Zero,Zero,Kanal,3,1-5 Kanal,22500000,Between 1 to 5 crore,0,0
Farm House,GT Road,Rawalpindi,For Sale,Zero,One,Kanal,2.3,1-5 Kanal,7500000,Between 50 lakh to 80 lakh,1,0
Farm House,Adiala Road,Rawalpindi,For Sale,Zero,One,Kanal,5,1-5 Kanal,11000000,Between 1 to 5 crore,1,0
Farm House,Shah Allah Ditta,Islamabad,For Sale,Two,Two,Kanal,6,5-10 Kanal,54000000,Between 5 to 10 crore,2,2
Farm House,Bani Gala,Islamabad,For Sale,Three,Three,Kanal,6,5-10 Kanal,88500000,Between 5 to 10 crore,3,3
Farm House,Bhara kahu,Islamabad,For Sale,Zero,Six,Kanal,8,5-10 Kanal,50000000,Between 1 to 5 crore,6,0
Flat,Gulistan-e-Jauhar,Karachi,For Rent,Zero,Zero,Marla,7,5-10 Marla,20000,Between zero to twenty-five thousand,0,0
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,Zero,Zero,Marla,2.9,0-5 Marla,45000,Between twenty-five to fifty thousand,0,0
Flat,Clifton,Karachi,For Rent,Zero,Zero,Marla,10.7,10-15 Marla,60000,Between fifty thousand to 1 lakh,0,0
Flat,I-8,Islamabad,For Rent,Two,Zero,Marla,5.1,5-10 Marla,75000,Between fifty thousand to 1 lakh,0,2
Flat,Cantt,Karachi,For Rent,Zero,Zero,Marla,12.2,10-15 Marla,100000,Between fifty thousand to 1 lakh,0,0
Flat,F-8,Islamabad,For Rent,Zero,Zero,Marla,10,5-10 Marla,160000,Between 1 to 5 lakh,0,0
Flat,Karakoram Diplomatic Enclave,Islamabad,For Rent,Zero,Zero,Marla,8.4,5-10 Marla,190000,Between 1 to 5 lakh,0,0
Flat,F-8,Islamabad,For Rent,Zero,Zero,Marla,13.7,10-15 Marla,300000,Between 1 to 5 lakh,0,0
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,1,0-5 Marla,9000,Between zero to twenty-five thousand,1,1
Flat,G-15,Islamabad,For Rent,One,One,Marla,.9,0-5 Marla,11000,Between zero to twenty-five thousand,1,1
Flat,G-15,Islamabad,For Rent,One,One,Marla,2.6,0-5 Marla,11000,Between zero to twenty-five thousand,1,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,2,0-5 Marla,16000,Between zero to twenty-five thousand,1,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,2.9,0-5 Marla,18000,Between zero to twenty-five thousand,1,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,2.7,0-5 Marla,20000,Between zero to twenty-five thousand,1,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,3.1,0-5 Marla,20000,Between zero to twenty-five thousand,1,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,3.3,0-5 Marla,20000,Between zero to twenty-five thousand,1,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,2.2,0-5 Marla,25000,Between zero to twenty-five thousand,1,1
Flat,E-11,Islamabad,For Rent,One,One,Marla,2.2,0-5 Marla,25000,Between zero to twenty-five thousand,1,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,3.1,0-5 Marla,30000,Between twenty-five to fifty thousand,1,1
Flat,E-11,Islamabad,For Rent,One,One,Marla,2.2,0-5 Marla,35000,Between twenty-five to fifty thousand,1,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,3.1,0-5 Marla,35000,Between twenty-five to fifty thousand,1,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,3.8,0-5 Marla,40000,Between twenty-five to fifty thousand,1,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,2.9,0-5 Marla,45000,Between twenty-five to fifty thousand,1,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,One,Marla,3.6,0-5 Marla,50000,Between twenty-five to fifty thousand,1,1
Flat,F-8,Islamabad,For Rent,One,One,Marla,3.9,0-5 Marla,125000,Between 1 to 5 lakh,1,1
Flat,F-8,Islamabad,For Rent,One,One,Marla,5.1,5-10 Marla,130000,Between 1 to 5 lakh,1,1
Flat,F-8,Islamabad,For Rent,Zero,One,Marla,5.1,5-10 Marla,150000,Between 1 to 5 lakh,1,0
Flat,F-8,Islamabad,For Rent,Zero,One,Marla,6.7,5-10 Marla,160000,Between 1 to 5 lakh,1,0
Flat,F-8,Islamabad,For Rent,Zero,One,Marla,6.7,5-10 Marla,180000,Between 1 to 5 lakh,1,0
Flat,Federal B Area,Karachi,For Rent,Two,Two,Marla,3,0-5 Marla,9500,Between zero to twenty-five thousand,2,2
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,One,Two,Marla,3.5,0-5 Marla,17000,Between zero to twenty-five thousand,2,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,Two,Two,Marla,3.5,0-5 Marla,17000,Between zero to twenty-five thousand,2,2
Flat,DHA Defence,Islamabad,For Rent,Two,Two,Marla,3.6,0-5 Marla,17000,Between zero to twenty-five thousand,2,2
Flat,DHA Defence,Islamabad,For Rent,One,Two,Marla,4,0-5 Marla,17000,Between zero to twenty-five thousand,2,1
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,Zero,Two,Marla,5,0-5 Marla,17000,Between zero to twenty-five thousand,2,0
Flat,Gulistan-e-Jauhar,Karachi,For Rent,Zero,Two,Marla,.9,0-5 Marla,18000,Between zero to twenty-five thousand,2,0
Flat,Gulshan-e-Iqbal Town,Karachi,For Rent,Zero,Two,Marla,3.1,0-5 Marla,18000,Between zero to twenty-five thousand,2,0
Flat,North Nazimabad,Karachi,For Rent,Zero,Two,Marla,4.2,0-5 Marla,20000,Between zero to twenty-five thousand,2,0
Flat,I-11,Islamabad,For Rent,Two,Two,Marla,4.4,0-5 Marla,20500,Between zero to twenty-five thousand,2,2
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,Two,Two,Marla,2.4,0-5 Marla,22000,Between zero to twenty-five thousand,2,2
Flat,Rawat,Rawalpindi,For Rent,Two,Two,Marla,3.1,0-5 Marla,23000,Between zero to twenty-five thousand,2,2
Flat,North Nazimabad,Karachi,For Rent,Two,Two,Marla,4.9,0-5 Marla,25000,Between zero to twenty-five thousand,2,2
Flat,Chandni Chowk,Rawalpindi,For Rent,Two,Two,Marla,4,0-5 Marla,35000,Between twenty-five to fifty thousand,2,2
Flat,E-11,Islamabad,For Rent,Two,Two,Marla,5.3,5-10 Marla,35000,Between twenty-five to fifty thousand,2,2
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,Two,Two,Marla,4.9,0-5 Marla,40000,Between twenty-five to fifty thousand,2,2
Flat,G-11,Islamabad,For Rent,Zero,Two,Marla,5.6,5-10 Marla,40000,Between twenty-five to fifty thousand,2,0
Flat,E-11,Islamabad,For Rent,Two,Two,Marla,4,0-5 Marla,45000,Between twenty-five to fifty thousand,2,2
Flat,E-11,Islamabad,For Rent,Two,Two,Marla,5.6,5-10 Marla,45000,Between twenty-five to fifty thousand,2,2
Flat,Clifton,Karachi,For Rent,Zero,Two,Marla,4.4,0-5 Marla,50000,Between twenty-five to fifty thousand,2,0
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,Two,Two,Marla,4.9,0-5 Marla,50000,Between twenty-five to fifty thousand,2,2
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,Two,Two,Marla,4,0-5 Marla,55000,Between fifty thousand to 1 lakh,2,2
Flat,F-11,Islamabad,For Rent,Two,Two,Marla,4.9,0-5 Marla,60000,Between fifty thousand to 1 lakh,2,2
Flat,F-11,Islamabad,For Rent,Two,Two,Marla,5.9,5-10 Marla,60000,Between fifty thousand to 1 lakh,2,2
Flat,F-11,Islamabad,For Rent,Zero,Two,Marla,6.2,5-10 Marla,60000,Between fifty thousand to 1 lakh,2,0
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,Two,Two,Marla,6.7,5-10 Marla,60000,Between fifty thousand to 1 lakh,2,2
Flat,F-8,Islamabad,For Rent,Zero,Two,Marla,2.9,0-5 Marla,65000,Between fifty thousand to 1 lakh,2,0
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,Two,Two,Marla,7.1,5-10 Marla,65000,Between fifty thousand to 1 lakh,2,2
Flat,F-11,Islamabad,For Rent,Two,Two,Marla,12.4,10-15 Marla,65000,Between fifty thousand to 1 lakh,2,2
Flat,Bahria Town Rawalpindi,Rawalpindi,For Rent,Three,Two,Marla,6.2,5-10 Marla,80000,Between fifty thousand to 1 lakh,2,3
Flat,Scheme 33,Karachi,For Rent,Two,Two,Marla,3.8,0-5 Marla,90000,Between fifty thousand to 1 lakh,2,2
Flat,Diplomatic Enclave,Islamabad,For Rent,Zero,Two,Marla,6.2,5-10 Marla,100000,Between fifty thousand to 1 lakh,2,0
Flat,F-8,Islamabad,For Rent,Three,Two,Marla,9.8,5-10 Marla,150000,Between 1 to 5 lakh,2,3
Flat,Karakoram Diplomatic Enclave,Islamabad,For Rent,Three,Two,Marla,8.4,5-10 Marla,190000,Between 1 to 5 lakh,2,3
Flat,Karakoram Diplomatic Enclave,Islamabad,For Rent,Two,Two,Marla,8.9,5-10 Marla,190000,Between 1 to 5 lakh,2,2
Flat,F-8,Islamabad,For Rent,Zero,Two,Marla,9,5-10 Marla,220000,Between 1 to 5 lakh,2,0
Flat,F-8,Islamabad,For Rent,Zero,Two,Marla,9,5-10 Marla,225000,Between 1 to 5 lakh,2,0
Flat,Karakoram Diplomatic Enclave,Islamabad,For Rent,Two,Two,Marla,11.8,10-15 Marla,250000,Between 1 to 5 lakh,2,2
Flat,Tariq Road,Karachi,For Rent,Zero,Three,Marla,4,0-5 Marla,25000,Between zero to twenty-five thousand,3,0
Flat,Askari 15,Rawalpindi,For Rent,Three,Three,Marla,4.4,0-5 Marla,30000,Between twenty-five to fifty thousand,3,3
Flat,G-11,Islamabad,For Rent,Two,Three,Marla,4.9,0-5 Marla,30000,Between twenty-five to fifty thousand,3,2
Flat,Askari 1,Rawalpindi,For Rent,Seven,Three,Marla,10,5-10 Marla,32000,Between twenty-five to fifty thousand,3,7
Flat,Askari 14,Rawalpindi,For Rent,Four,Three,Marla,10,5-10 Marla,33000,Between twenty-five to fifty thousand,3,4
Flat,Gulistan-e-Jauhar,Karachi,For Rent,Three,Three,Marla,7.6,5-10 Marla,35000,Between twenty-five to fifty thousand,3,3
Flat,Askari 14,Rawalpindi,For Rent,Four,Three,Marla,10,5-10 Marla,35000,Between twenty-five to fifty thousand,3,4
Flat,Askari 14,Rawalpindi,For Rent,Zero,Three,Marla,10,5-10 Marla,35000,Between twenty-five to fifty thousand,3,0
Flat,Askari 2,Rawalpindi,For Rent,Zero,Three,Marla,10,5-10 Marla,35000,Between twenty-five to fifty thousand,3,0
Flat,E-11,Islamabad,For Rent,Three,Three,Marla,4.4,0-5 Marla,40000,Between twenty-five to fifty thousand,3,3
Flat,Jamshed Town,Karachi,For Rent,Three,Three,Marla,6,5-10 Marla,40000,Between twenty-five to fifty thousand,3,3
Flat,DHA Defence,Islamabad,For Rent,Four,Three,Marla,10,5-10 Marla,40000,Between twenty-five to fifty thousand,3,4
Flat,DHA Defence,Islamabad,For Rent,Three,Three,Marla,11.6,10-15 Marla,43000,Between twenty-five to fifty thousand,3,3
Flat,Askari 3,Rawalpindi,For Rent,Four,Three,Marla,10,5-10 Marla,45000,Between twenty-five to fifty thousand,3,4
Flat,Askari 4,Rawalpindi,For Rent,Four,Three,Marla,10,5-10 Marla,45000,Between twenty-five to fifty thousand,3,4
Flat,Cantt,Karachi,For Rent,Zero,Three,Marla,11.6,10-15 Marla,45000,Between twenty-five to fifty thousand,3,0
Flat,G-7,Islamabad,For Rent,Zero,Three,Marla,5.9,5-10 Marla,55000,Between fifty thousand to 1 lakh,3,0
Flat,Cantt,Karachi,For Rent,Three,Three,Marla,12.2,10-15 Marla,55000,Between fifty thousand to 1 lakh,3,3
Flat,Gulshan-e-Iqbal Town,Karachi,For Rent,Four,Three,Marla,10.7,10-15 Marla,60000,Between fifty thousand to 1 lakh,3,4
Flat,DHA Defence,Karachi,For Rent,Three,Three,Marla,7.8,5-10 Marla,65000,Between fifty thousand to 1 lakh,3,3
Flat,Cantt,Karachi,For Rent,Three,Three,Marla,11.4,10-15 Marla,65000,Between fifty thousand to 1 lakh,3,3
Flat,E-11,Islamabad,For Rent,Three,Three,Marla,8,5-10 Marla,66000,Between fifty thousand to 1 lakh,3,3
Flat,F-11,Islamabad,For Rent,Three,Three,Marla,9.3,5-10 Marla,80000,Between fifty thousand to 1 lakh,3,3
Flat,Clifton,Karachi,For Rent,Four,Three,Marla,8.2,5-10 Marla,85000,Between fifty thousand to 1 lakh,3,4
Flat,Cantt,Karachi,For Rent,Zero,Three,Marla,12.2,10-15 Marla,100000,Between fifty thousand to 1 lakh,3,0
Flat,Gulshan-e-Iqbal Town,Karachi,For Rent,Three,Three,Marla,12.2,10-15 Marla,105000,Between 1 to 5 lakh,3,3
Flat,F-10,Islamabad,For Rent,Three,Three,Marla,9.3,5-10 Marla,130000,Between 1 to 5 lakh,3,3
Flat,Bath Island,Karachi,For Rent,Five,Three,Marla,10.3,10-15 Marla,135000,Between 1 to 5 lakh,3,5
Flat,Clifton,Karachi,For Rent,Three,Three,Marla,10.7,10-15 Marla,135000,Between 1 to 5 lakh,3,3
Flat,DHA Defence,Karachi,For Rent,Four,Three,Marla,13.7,10-15 Marla,165000,Between 1 to 5 lakh,3,4
